"L=longest; SK=most skillful; Obs=observed, in KAF for water year (WY) streamflow"			
WY	COLeesL	COLeesSK	COLeesObs
1915	17886.534	15630.080	14137.603
1916	18005.519	16610.144	19187.542
1917	19746.169	20028.795	23849.259
1918	13140.472	15882.205	15750.724
1919	15964.354	13745.107	12951.469
1920	17990.221	18458.696	21927.976
1921	18416.448	20839.166	22703.07
1922	17519.299	15633.170	18669.586
1923	12730.454	17022.761	18343.663
1924	14645.469	16444.948	14639.094
1925	11848.532	13832.683	13410.821
1926	16898.479	17646.498	16114.02
1927	16031.163	17138.542	18551.86
1928	14769.966	17422.898	17577.859
1929	16185.961	18203.490	21407.051
1930	13939.785	16492.419	15283.505
1931	13147.026	11062.810	8631.719
1932	16683.783	17852.435	17545.522
1933	12877.041	13311.744	12130.063
1934	11976.536	7417.961	6627.514
1935	12754.414	10878.077	12280.022
1936	11238.958	10752.320	14485.382
1937	12350.259	13525.071	14161.753
1938	16737.289	15476.806	17920.064
1939	13743.161	11527.331	11718.056
1940	15541.915	12276.485	9380.279
1941	19820.575	17365.895	18319.34
1942	21539.002	19283.775	19428.259
1943	16577.102	12917.093	13624.479
1944	17655.654	13216.648	15512.509
1945	15360.389	12150.360	13912.713
1946	11243.434	9492.786	11062.728
1947	13243.049	16157.116	15916.279
1948	17650.407	13810.097	15880.189
1949	18512.207	18065.804	16662.172
1950	12286.198	13263.766	13317.921
1951	8910.9859	11133.611	12485.833
1952	18094.164	18739.500	20900.043
1953	11793.792	11767.357	11204.001
1954	11063.382	8048.137	8368.141
1955	12648.623	11077.696	9795.47
1956	8342.6562	10778.190	11505.097
1957	15005.587	18909.879	20159.803
1958	16823.174	14744.466	16899.937
1959	8655.6823	9346.254	9232.537
1960	12979.869	12235.096	11974.847
1961	10949.406	9236.638	9247.778
1962	12880.136	18337.459	17769.35
1963	9936.6593	10748.289	9169.052
1964	11662.053	10473.825	10355.45
1965	15689.242	17225.090	18433.671
1966	14406.067	12993.794	11139.763
1967	10475.305	12600.268	11786.991
1968	11546.851	12286.725	13307.287
1969	15230.164	17505.028	14543.476
1970	16134.497	15800.085	15040.894
1971	11297.997	13515.159	14867.372
1972	12352.341	12802.686	12398.4
1973	19255.263	20264.955	19270.782
1974	13342.894	17038.468	12965.346
1975	17444.191	18245.382	16563.786
1976	12747.004	11846.253	11199.808
1977	8790.9378	6611.338	5436.467
1978	16452.072	14088.669	14892.816
1979	16170.281	17470.263	17609.785
1980	14895.915	14857.079	17312.15
1981	11839.802	10563.662	8647.971
1982	16527.474	17522.228	16718.431
1983	21590.378	23254.473	23717.778
1984	20576.541	23567.793	24192.625
1985	22447.131	23738.740	21040.001
1986	20921.488	23148.543	22305.359
1987	19480.995	18859.841	16554.7
1988	19507.852	14388.808	11638.222
1989	14516.224	12184.333	9529.57
1990	11159.3	9393.601	8965.072
1991	13330.973	14643.479	12326.452
1992	16614.698	12819.614	11077.477
1993	17373.218	16592.375	18681.814
1994	13394.462	10250.186	10586.458
1995	17824.312	17389.848	19859.099
1996	11795.743	14744.354	14053.13
1997	15740.164	17074.786	21184.646
1998	17085.911	18300.899	16968.57
1999	14705.435	15773.102	16451.893
2000	14082.169	11358.965	10541.254
2001	12849.249	11258.886	11025.447
2002	8374.0579	6052.304	5869.159
2003	12943.193	12259.609	10451.94
2004	13335.3	10567.716	9444.49
2005	18088.98	16780.965	17111.199
2006	11323.893	9819.446	12627.668
2007	17362.045	18048.700	12565.121
2008	14661.247	16825.824	16312.172
2009	12868.252	18236.622	14304.034
2010	11856.363	14401.911	12330.384
2011	16976.984	19520.820	20063.189
2012	8938.2059	6885.708	8223.92
2013	10072.447	10391.615	8850.567
2014	12979.959	15980.435	14137.135
2015		15467.181	
2016			
